Baseline 100%T,,Baseline 0%T,,sample1,,Plexyglass,,Petri,,rouge,,jaune,,bleu,,lamelle_verre,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2600,436779.8438,2600,0.001314379042,2600,0.0015660231,2600,0.004039948806,2600,0.007815179415,2600,122.8244781,2600,111.1172409,2600,110.893692,2600,0.01949692145,
2599,574605.0625,2599,0.001855951967,2599,0.001191474847,2599,0.003073389642,2599,0.005962735973,2599,95.12011719,2599,91.29877472,2599,91.91451263,2599,0.01473680418,
2598,530595,2598,0.004999214318,2598,0.001287221326,2598,0.003324425779,2598,0.006480535958,2598,103.3170013,2598,89.02524567,2598,76.19891357,2598,0.01596287265,
2597,458477.1875,2597,0.002420284087,2597,0.001484612352,2597,0.003838917473,2597,0.007528988644,2597,103.0871429,2597,110.2208252,2597,98.17683411,2597,0.01859715953,
2596,479322.5625,2596,0.003538470715,2596,0.001407663571,2596,0.0036550886,2596,0.007227639668,2596,106.0699615,2596,92.32518768,2596,88.55027008,2596,0.0180375129,
2595,495957.6563,2595,0.003050438361,2595,0.00134653633,2595,0.003511233488,2595,0.007007999346,2595,113.8038483,2595,100.5919113,2595,93.26787567,2595,0.01770265587,
2594,541775.3125,2594,0.004102620762,2594,0.00121764082,2594,0.0031940185,2594,0.006433364004,2594,93.45798492,2594,81.68869781,2594,74.38453674,2594,0.01644818485,
2593,503303.75,2593,0.002588527044,2593,0.001294155838,2593,0.003413187107,2593,0.006939540617,2593,91.39503479,2593,95.45993042,2593,94.79585266,2593,0.01795416698,
2592,528084.9375,2592,0.00374887418,2592,0.001214951742,2592,0.003225160995,2592,0.006621456239,2592,84.34680939,2592,88.30930328,2592,94.86694336,2592,0.01727063581,
2591,455665.4375,2591,0.006015090737,2591,0.00138696155,2591,0.003706739517,2591,0.007672698703,2591,100.251976,2591,102.5335693,2591,105.7866821,2591,0.02009276859,
2590,464434.875,2590,0.003669660073,2590,0.001343849348,2590,0.003610579064,2590,0.007521208376,2590,123.5234528,2590,100.7379379,2590,105.3722153,2590,0.01967925578,
2589,473386.625,2589,0.003614173038,2589,0.001302422606,2589,0.003515634686,2589,0.007368136197,2589,100.4577408,2589,99.24314117,2589,113.4846115,2589,0.01915634423,
2588,451370.25,2588,0.006400588434,2588,0.001346214791,2588,0.003657005727,2588,0.007715198211,2588,99.38404083,2588,102.1928787,2588,95.56665039,2588,0.01986780018,
2587,516911.125,2587,0.005679525901,2587,0.001157542807,2587,0.00316486042,2587,0.006727214437,2587,88.85374451,2587,96.3732605,2587,98.00699615,2587,0.017123539,
2586,574602.3125,2586,0.001144568552,2586,0.001022671466,2586,0.002817357425,2586,0.006046664901,2586,81.111763,2586,93.84292603,2586,94.36472321,2586,0.01520599052,
2585,472064.9375,2585,0.002426745137,2585,0.001220471459,2585,0.003392304992,2585,0.00735718431,2585,104.4018173,2585,143.8128052,2585,100.9763947,2585,0.01834320277,
2584,497543.1563,2584,0.004537665285,2584,0.00113392889,2584,0.003182040993,2584,0.006979968864,2584,101.1036606,2584,108.0852051,2584,88.20698547,2584,0.01732764207,
2583,477190.1875,2583,0.002698634053,2583,0.001160181593,2583,0.003282986581,2583,0.007279899903,2583,109.1750946,2583,91.89883423,2583,95.02624512,2583,0.0181091968,
2582,490161.9688,2582,0.005324125756,2582,0.001111165271,2582,0.003167667426,2582,0.007087039761,2582,102.6717529,2582,93.61148071,2582,107.2876892,2582,0.01771811955,
2581,466773.5313,2581,0.002938006539,2581,0.00114974496,2581,0.003299728734,2581,0.007446098607,2581,114.4128647,2581,94.20119476,2581,88.67310333,2581,0.01877221279,
2580,493872.8125,2580,0.004811228253,2580,0.001071383012,2580,0.00309444801,2580,0.007036974654,2580,87.76559448,2580,87.93474579,2580,108.8537827,2580,0.01795204543,
2579,485640.7188,2579,0.003640911309,2579,0.001076073968,2579,0.00312639866,2579,0.007161154412,2579,97.1476593,2579,114.6067123,2579,89.84690094,2579,0.01848528162,
2578,520674.4688,2578,0.005591959227,2578,0.0009930862579,2578,0.00290023908,2578,0.006677714642,2578,100.483284,2578,93.18967438,2578,95.41204834,2578,0.01739296503,
2577,537832.25,2577,0.001852244372,2577,0.0009524440393,2577,0.00279307249,2577,0.006460749079,2577,90.04000092,2577,92.09527588,2577,84.3779068,2577,0.01692846417,
2576,475530.875,2576,0.005063366611,2576,0.001063915552,2576,0.00313870376,2576,0.00729392143,2576,97.66710663,2576,109.1257095,2576,96.24090576,2576,0.01917184331,
2575,448237.875,2575,0.003930983599,2575,0.001117639244,2575,0.003311990062,2575,0.007722131908,2575,98.00258636,2575,100.9376373,2575,108.5860519,2575,0.02027534135,
2574,468655.0625,2574,0.004628135823,2574,0.001057981048,2574,0.003150311764,2574,0.007359943353,2574,98.51364136,2574,100.2931442,2574,98.82359314,2574,0.01922115497,
2573,545495.625,2573,0.004757592455,2573,0.00089999591,2573,0.002692300593,2573,0.006295106374,2573,89.20913696,2573,84.81911469,2573,81.08590698,2573,0.01630219258,
2572,518180.5313,2572,0.002408022527,2572,0.000938084384,2572,0.002819733461,2572,0.006591379642,2572,102.1950378,2572,82.90537262,2572,99.82287598,2572,0.01692069136,
2571,416703.125,2571,0.001763475477,2571,0.00115737936,2571,0.003491149517,2571,0.0081494404,2571,116.8816299,2571,107.9551468,2571,110.0253448,2571,0.0207678657,
2570,439007.8125,2570,0.004447011277,2570,0.001089750789,2570,0.003302114783,2570,0.007691116538,2570,122.5765686,2570,105.2193756,2570,103.8395309,2570,0.01953253336,
2569,544254.5625,2569,0.004967377987,2569,0.0008725702064,2569,0.002651985269,2569,0.006165337749,2569,86.39337921,2569,82.41885376,2569,84.92390442,2569,0.01566024311,
2568,535469.875,2568,0.00263701356,2568,0.0008808340644,2568,0.002683877712,2568,0.006226678845,2568,92.46456909,2568,87.72489166,2568,84.40658569,2568,0.01590488665,
2567,495621.0313,2567,0.001877590897,2567,0.0009445312317,2567,0.002887052251,2567,0.006688898429,2567,109.8471375,2567,85.04642487,2567,91.17192078,2567,0.01726923138,
2566,496616.4688,2566,0.006101926323,2566,0.000934695825,2566,0.002868751762,2566,0.006641073618,2566,107.7071304,2566,104.9442673,2566,87.99684906,2566,0.0173808448,
2565,548723.125,2565,0.004598044325,2565,0.0008381850203,2565,0.002582677407,2565,0.005982920062,2565,83.21405792,2565,77.77935791,2565,75.02890015,2565,0.01592432894,
2564,511968.9375,2564,0.004583269358,2564,0.0008873844054,2564,0.002745639998,2564,0.006383520085,2564,99.25910187,2564,99.78123474,2564,92.64849854,2564,0.01729305647,
2563,588235.625,2563,0.003765977453,2563,0.0007598351222,2563,0.002368642017,2563,0.005539873615,2563,85.66227722,2563,75.11142731,2563,70.47966003,2563,0.01522604469,
2562,526765.9375,2562,0.003314242,2562,0.0008329467964,2562,0.002615706995,2562,0.00617240509,2562,113.4871826,2562,98.86233521,2562,91.04296875,2562,0.01714002714,
2561,543979.875,2561,0.005622265395,2561,0.0007875441806,2561,0.002499941736,2561,0.005970215425,2561,81.35401154,2561,75.71652985,2561,78.9088974,2561,0.01663469523,
2560,475727.7813,2560,0.00318122725,2560,0.0008802108932,2560,0.002819561167,2560,0.006815015338,2560,104.3469696,2560,90.84814453,2560,109.6865387,2560,0.01894525066,
2559,512583.7813,2559,0.004028271884,2559,0.00079899712,2559,0.00258452585,2559,0.00631773565,2559,98.46538544,2559,81.32614136,2559,87.59897614,2559,0.01742425002,
2558,480328.625,2558,0.003324884456,2558,0.0008363147499,2558,0.002727024024,2558,0.006738248281,2558,121.4859924,2558,98.9029541,2558,86.54798889,2558,0.0183677692,
2557,487469.875,2557,0.005175185855,2557,0.0008080293774,2557,0.002655635821,2557,0.006628582254,2557,95.65913391,2557,97.73568726,2557,83.19978333,2557,0.01786046848,
2556,493962,2556,0.003736349288,2556,0.0007781497552,2556,0.002585164271,2556,0.006525684148,2556,93.1277771,2556,111.6831818,2556,96.70578003,2556,0.01740535535,
2555,491521.2813,2555,0.002919079736,2555,0.0007603724953,2555,0.002553688595,2555,0.006534916814,2555,96.34711456,2555,110.6656876,2555,86.1395874,2555,0.01731510088,
2554,468251.3125,2554,0.0007872723509,2554,0.0007697754772,2554,0.002622675151,2554,0.006824812386,2554,98.48896027,2554,105.787468,2554,86.64073181,2554,0.01808740757,
2553,499778.8125,2553,0.003154983278,2553,0.0006876455736,2553,0.002389108064,2553,0.006349339616,2553,87.31609344,2553,89.01982117,2553,86.78458405,2553,0.01699568145,
