Puissance (W),Longueur d'onde (nm),Position x (mm),Position y (mm)
5,1000,3.9130434782608674,10.133779264214049
5,1000,5.11705685618729,-3.511705685618729
5,1000,9.130434782608695,-8.929765886287626
5,1000,3.9130434782608674,5.518394648829435
5,1000,2.709030100334452,3.1103678929765906
5,1000,9.331103678929765,-9.130434782608695
5,1000,4.916387959866221,-8.929765886287626
5,1000,3.1103678929765906,-2.508361204013376
5,1000,7.324414715719065,-1.7056856187290954
5,1000,8.929765886287626,-9.531772575250837
5,1000,-2.909698996655518,10.334448160535118
5,1000,3.1103678929765906,1.9063545150501682
5,1000,8.528428093645488,-9.531772575250837
5,1000,-3.9130434782608674,-8.127090301003342
5,1000,3.3110367892976598,-9.130434782608695
5,1000,3.712374581939798,-2.909698996655518
5,1000,8.929765886287626,-9.331103678929765
5,1000,3.712374581939798,8.729096989966557
5,1000,3.1103678929765906,-3.9130434782608674
5,1000,8.929765886287626,-9.130434782608695
5,1000,-3.712374581939798,-8.729096989966553
5,1000,3.511705685618729,9.73244147157191
5,1000,6.321070234113712,2.1070234113712374
5,1000,9.130434782608695,-8.929765886287626
5,1000,10.334448160535118,10.535117056856187
5,1000,9.73244147157191,4.113712374581944
5,1000,8.729096989966557,-9.331103678929765
5,1000,9.130434782608695,2.709030100334452
5,1000,3.3110367892976598,-3.712374581939798
5,1000,8.929765886287626,3.511705685618729
5,1000,-4.314381270903009,-8.929765886287626
5,1000,4.314381270903013,10.535117056856187
5,1000,9.130434782608695,-9.732441471571907
5,1000,9.331103678929765,-9.331103678929765
5,1000,4.916387959866221,-9.331103678929765
5,1000,9.73244147157191,7.725752508361204
5,1000,8.929765886287626,3.3110367892976598
5,1000,5.11705685618729,-4.916387959866221
5,1000,3.712374581939798,-3.3110367892976598
5,1000,8.327759197324418,-3.511705685618729
5,1000,4.113712374581944,-9.130434782608695
5,1000,3.9130434782608674,-9.331103678929765
5,1000,2.709030100334452,-3.3110367892976598
5,1000,8.929765886287626,-9.531772575250837
5,1000,4.314381270903013,-8.528428093645484
5,1000,3.9130434782608674,3.511705685618729
5,1000,5.11705685618729,-3.110367892976587
